                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2283,                 6.9878,                 1.5647,                0.00171,                0.24679,                 0.0025,                0.00193,                 0.8351,                 4.4941,                 1.3623,             9.6443e-06,             9.6443e-06,             9.6443e-06
                      2,                0.96322,                 5.5222,                 1.3881,                0.00386,                0.59075,                0.01179,                0.00966,                0.74169,                 4.0129,                 1.2804,             1.8929e-05,             1.8929e-05,             1.8929e-05
                      3,                0.93384,                 5.0385,                 1.3529,                 0.0053,                0.72157,                0.03144,                0.02574,                0.75981,                 3.7238,                 1.2795,              2.783e-05,              2.783e-05,              2.783e-05
                      4,                0.93453,                 4.7668,                 1.3438,                0.49518,                0.06046,                0.06059,                  0.049,                0.74703,                 3.4395,                 1.2754,             2.7277e-05,             2.7277e-05,             2.7277e-05
                      5,                0.92186,                  4.538,                 1.3396,                 0.4621,                0.10128,                0.09061,                0.07372,                0.73695,                 3.2432,                 1.2716,             2.6703e-05,             2.6703e-05,             2.6703e-05
                      6,                0.92669,                 4.3065,                 1.3338,                0.38419,                0.17739,                0.15304,                0.12394,                0.76008,                 2.9595,                 1.2943,             2.6129e-05,             2.6129e-05,             2.6129e-05
                      7,                 0.9322,                 4.1383,                 1.3362,                0.34888,                0.28253,                0.23383,                0.19361,                0.72945,                 2.7073,                 1.2762,             2.5555e-05,             2.5555e-05,             2.5555e-05
                      8,                0.92585,                 3.9821,                 1.3354,                0.37712,                0.35874,                0.29787,                0.24564,                0.71659,                 2.5401,                 1.2765,             2.4981e-05,             2.4981e-05,             2.4981e-05
                      9,                0.91329,                  3.837,                 1.3223,                0.40269,                0.41741,                0.38177,                0.31871,                0.69873,                 2.3439,                 1.2626,             2.4406e-05,             2.4406e-05,             2.4406e-05
                     10,                0.91821,                 3.6964,                   1.33,                0.43914,                0.46814,                 0.4581,                0.38049,                0.71766,                 2.1425,                 1.2675,             2.3832e-05,             2.3832e-05,             2.3832e-05
