                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0233,                 6.6839,                   4.16,                      0,                      0,                      0,                      0,                  2.469,                 6.8928,                 3.9873,             9.6217e-06,             9.6217e-06,             9.6217e-06
                      2,                 2.9211,                 6.6498,                 4.0461,                      0,                      0,                      0,                      0,                 2.1922,                 6.9568,                 3.7359,             1.9097e-05,             1.9097e-05,             1.9097e-05
                      3,                 2.8036,                 6.6256,                 3.8265,                  1e-05,                0.00178,                  1e-05,                      0,                 2.0554,                  6.901,                 3.3077,             2.8382e-05,             2.8382e-05,             2.8382e-05
                      4,                 2.6874,                 6.5597,                  3.613,                 0.0001,                0.02142,                0.00014,                  5e-05,                 1.9838,                 6.8912,                 3.0329,             2.8139e-05,             2.8139e-05,             2.8139e-05
                      5,                 2.4729,                 6.4478,                 3.4061,                0.00329,                0.04244,                0.00203,                0.00099,                 1.8173,                 6.7097,                  2.945,             2.7852e-05,             2.7852e-05,             2.7852e-05
                      6,                 2.3578,                 6.3418,                 3.2627,                0.00108,                  0.033,                0.00081,                0.00033,                 1.6987,                 6.5741,                 2.9114,             2.7565e-05,             2.7565e-05,             2.7565e-05
                      7,                 2.2062,                 6.2456,                 3.1309,                0.00038,                0.04317,                 0.0005,                0.00025,                 1.6038,                 6.4551,                 2.7918,             2.7277e-05,             2.7277e-05,             2.7277e-05
                      8,                 2.0979,                 6.1211,                 3.0166,                0.00096,                0.05866,                0.00096,                0.00056,                 1.4769,                 6.3012,                 2.7041,              2.699e-05,              2.699e-05,              2.699e-05
                      9,                   1.98,                 5.9816,                 2.8886,                0.00092,                0.12543,                0.00163,                0.00096,                 1.4045,                 6.1837,                 2.5383,             2.6703e-05,             2.6703e-05,             2.6703e-05
                     10,                 1.8737,                 5.8812,                 2.7588,                0.00132,                0.21983,                 0.0024,                0.00151,                 1.3522,                 6.0575,                 2.3809,             2.6416e-05,             2.6416e-05,             2.6416e-05
                     11,                 1.7921,                 5.7653,                 2.6396,                0.00221,                0.15182,                0.00276,                0.00186,                 1.2693,                 6.0117,                 2.3436,             2.6129e-05,             2.6129e-05,             2.6129e-05
                     12,                 1.7109,                 5.6914,                 2.5441,                0.00329,                0.20171,                0.00444,                0.00311,                 1.1996,                 5.9059,                 2.2462,             2.5842e-05,             2.5842e-05,             2.5842e-05
                     13,                 1.6491,                 5.5975,                 2.4671,                0.00263,                 0.2399,                0.00579,                0.00404,                 1.1326,                 5.7914,                 2.1812,             2.5555e-05,             2.5555e-05,             2.5555e-05
                     14,                 1.6104,                 5.5176,                 2.4037,                0.00244,                0.20338,                0.00454,                0.00324,                  1.096,                 5.7898,                 2.1514,             2.5268e-05,             2.5268e-05,             2.5268e-05
                     15,                 1.5852,                   5.48,                 2.3731,                0.00391,                0.26516,                0.00589,                0.00419,                 1.1059,                 5.7114,                 2.1024,             2.4981e-05,             2.4981e-05,             2.4981e-05
